arm,n_streams,keep_rate,keep_rate_sd,tokens_per_frame,kv_gb_per_hour,kv_mib_per_frame,kv_gb_per_hour_offloaded,throughput_fps,throughput_fps_sd,gpu_peak_gb,reached_steady_state,gflops_per_frame,gflops_matmul_per_frame,gflops_attn_per_frame,flops_frames,flops_keep_rate,kv_gb_per_hour_analytic,gflops_per_frame_analytic,vision_gflops_per_frame_analytic,lm_linear_gflops_per_frame_analytic,lm_attn_gflops_per_frame_analytic,gflops_is_measured,kv_vs_baseline,speedup_vs_baseline,gflops_vs_baseline
baseline,1,1.0,0.0,196.0,37.68310546875,10.71875,37.68310546875,11.400757622477641,0.0,19.319846153259277,True,4634.774020096,3438.191222784,1196.582797312,64,,37.68310546875,4403.614241792,665.561650176,2557.9130716160003,1180.13952,True,1.0,1.0,1.0
rlt@0.1,1,0.8449319727891157,0.0,165.60666666666668,31.7794189453125,9.039479166666666,31.7794189453125,13.967054604591537,0.0,19.327345848083496,True,4076.742413824,3048.429072384,1028.31334144,64,0.8629623724489796,31.839660644531257,3823.9618007995737,665.561650176,2161.262537823574,997.1376128,True,1.1857707509881423,1.2250988107188776,1.1368817427315856
rlt@0.2,1,0.73703231292517,0.0,144.45833333333331,27.7598876953125,7.896145833333334,27.7598876953125,15.59790414279651,0.0,19.327345848083496,True,3580.71431936,2701.973827584,878.740491776,64,0.7297512755102041,27.773666381835934,3420.6271976106664,665.561650176,1885.2645874346665,869.8009599999998,True,1.3574660633484164,1.3681462810895837,1.2943713479282528
rlt@0.3,1,0.6191071428571429,0.0,121.345,23.30072021484375,6.627760416666667,23.30072021484375,18.44022877074105,0.0,19.326966285705566,True,3208.693248512,2442.132393984,766.560854528,64,0.5986128826530612,23.329879760742188,2979.81671002112,665.561650176,1583.6222534451201,730.6328063999999,True,1.6172506738544474,1.6174564341570112,1.4444428498253394
rlt@0.4,1,0.4848979591836734,0.0,95.03999999999999,18.2135009765625,5.180729166666667,18.2135009765625,22.050172673574526,0.0,19.32532501220703,True,2340.6440832,1835.835715584,504.808367616,64,0.489875637755102,18.2724609375,2478.13572317184,665.561650176,1240.3268281958399,572.2472448,True,2.0689655172413794,1.9340971366763016,1.9801276295538242
rlt@0.5,1,0.3392176870748299,0.0,66.48666666666666,12.74945068359375,3.6265104166666666,12.74945068359375,28.98691898751657,0.0,19.325672149658203,True,1844.615988736,1489.380470784,355.235517952,64,0.3366549744897959,12.78277587890625,1933.575204468053,665.561650176,867.6893558920534,400.3241984,True,2.955665024630542,2.5425432192652,2.5125956016850535
rlt@0.6,1,0.206156462585034,0.0,40.406666666666666,7.72503662109375,2.19734375,7.72503662109375,45.88429725366769,0.0,19.323817253112793,True,1906.619500544,1532.687376384,373.93212416,64,0.2279974489795918,7.768615722656251,1436.1853494203733,665.561650176,527.3303104443734,243.2933888,True,4.878048780487805,4.0246708835562455,2.430885668993524
rlt@0.7,1,0.1138690476190476,0.0,22.31833333333333,4.270751953125,1.2147916666666667,0.0,61.73788146869071,0.0,19.139565467834473,False,1091.2101387332266,,,0,,4.2909393310546875,1091.2101387332266,665.561650176,291.2671253572267,134.38136319999998,False,8.823529411764707,5.415243750728355,4.247370745176961
rlt@0.8,1,0.0559268707482993,0.0,10.961666666666662,2.07257080078125,0.58953125,0.0,77.1290863993706,0.0,18.381197929382324,False,874.6192343176532,,,0,,2.1074981689453116,874.6192343176532,665.561650176,143.05607374165328,66.00151039999997,False,18.181818181818183,6.765259726888986,5.2991905943068875
rlt@0.9,1,0.0256802721088435,0.0,5.033333333333326,0.94207763671875,0.26796875,0.0,86.46119376730566,0.0,18.006197929382324,False,761.5558578858664,,,0,,0.9677124023437487,761.5558578858664,665.561650176,65.68790370986657,30.306303999999955,False,40.0,7.583811236968978,6.085927870034989
