arm,n_streams,keep_rate,keep_rate_sd,tokens_per_frame,kv_gb_per_hour,kv_mib_per_frame,kv_gb_per_hour_offloaded,throughput_fps,throughput_fps_sd,gpu_peak_gb,reached_steady_state,gflops_per_frame,gflops_matmul_per_frame,gflops_attn_per_frame,flops_frames,flops_keep_rate,kv_gb_per_hour_analytic,gflops_per_frame_analytic,vision_gflops_per_frame_analytic,lm_linear_gflops_per_frame_analytic,lm_attn_gflops_per_frame_analytic,gflops_is_measured,kv_vs_baseline,speedup_vs_baseline,gflops_vs_baseline
baseline,1,1.0,0.0,196.0,8.074951171875,2.296875,8.074951171875,18.18787985023527,0.0,2.843596935272217,True,1094.5427456,838.132146176,256.410599424,64,,8.074951171875,1036.644307968,643.489256448,140.26801152000002,252.88704,True,1.0,1.0,1.0
rlt@0.1,1,0.8442602040816326,0.0,165.475,6.80987548828125,1.93703125,6.80987548828125,20.623037828031276,0.0,2.845036029815674,True,1010.155394048,801.821782016,208.333612032,64,0.8617665816326531,6.817359924316405,975.41442048,643.489256448,118.422700032,213.502464,True,1.1857707509881423,1.1338890512719384,1.0835389802887991
rlt@0.2,1,0.701921768707483,0.0,137.57666666666668,5.665924072265625,1.611640625,5.665924072265625,23.87016318959721,0.0,2.8450255393981934,True,960.929438976,780.640736256,180.28870272,64,0.7207429846938775,5.6679840087890625,919.4533455872,643.489256448,98.45717073920001,177.50691840000002,True,1.4251781472684086,1.3124214249352675,1.1390459082681272
rlt@0.3,1,0.5346853741496599,0.0,104.79833333333333,4.306640625,1.225,4.306640625,29.639293696570554,0.0,2.8447823524475098,True,869.509808128,741.304508416,128.205299712,64,0.5282206632653061,4.317558288574219,853.7035122688001,643.489256448,74.9992542208,135.2150016,True,1.875,1.6296178521427365,1.2588043692761577
rlt@0.4,1,0.3586479591836735,0.0,70.295,2.893524169921875,0.823046875,2.893524169921875,38.40167330733177,0.0,2.844688892364502,True,785.122456576,704.994144256,80.12831232,64,0.3604910714285714,2.8960647583007812,784.4935133184,643.489256448,50.3068360704,90.6974208,True,2.7906976744186047,2.1113881124981715,1.3941044946968066
rlt@0.5,1,0.1963605442176871,0.0,38.48666666666667,1.574615478515625,0.447890625,1.574615478515625,50.55842427515097,0.0,2.844635486602783,True,700.735105024,668.683780096,32.051324928,64,0.1779336734693877,1.585601806640625,720.6893963264,643.489256448,27.543103078400005,49.65703680000001,True,5.128205128205129,2.779786577185739,1.5619921675859414
rlt@0.6,1,0.0829421768707483,0.0,16.256666666666668,0.659454345703125,0.187578125,0.0,76.66971130785339,0.0,2.7150354385375977,False,676.0983922688,,,0,,0.6697540283203125,676.0983922688,643.489256448,11.634134220800002,20.975001600000002,False,12.244897959183673,4.215428732715189,1.618910439835563
rlt@0.7,1,0.0258248299319727,0.0,5.06166666666665,0.201873779296875,0.057421875,0.0,95.13999011348348,0.0,2.561594009399414,False,653.6424187903999,,,0,,0.20853424072265556,653.6424187903999,643.489256448,3.622397542399988,6.530764799999979,False,40.0,5.230955498765998,1.6745283263982615
rlt@0.8,1,0.0063775510204081,0.0,1.2499999999999876,0.040374755859375,0.011484375,0.0,102.70107058371931,0.0,2.5077576637268066,False,645.996622848,,,0,,0.051498413085936987,645.996622848,643.489256448,0.8945663999999911,1.612799999999984,False,200.0,5.646676326729244,1.6943474731717612
rlt@0.9,1,0.0022874149659863,0.0,0.44833333333331477,0.013458251953125,0.003828125,0.0,106.06860568552015,0.0,2.498457908630371,False,644.3885651968,,,0,,0.018470764160155483,644.3885651968,643.489256448,0.3208511487999867,0.578457599999976,False,600.0,5.831829028942486,1.6985756804447956
