arm,n_streams,keep_rate,keep_rate_sd,tokens_per_frame,kv_gb_per_hour,kv_mib_per_frame,kv_gb_per_hour_offloaded,throughput_fps,throughput_fps_sd,gpu_peak_gb,reached_steady_state,gflops_per_frame,gflops_matmul_per_frame,gflops_attn_per_frame,flops_frames,flops_keep_rate,kv_gb_per_hour_analytic,gflops_per_frame_analytic,vision_gflops_per_frame_analytic,lm_linear_gflops_per_frame_analytic,lm_attn_gflops_per_frame_analytic,gflops_is_measured,kv_vs_baseline,speedup_vs_baseline,gflops_vs_baseline
baseline,1,1.0,0.0,196.0,8.074951171875,2.296875,8.074951171875,11.905317007758606,0.0,2.8435959815979004,True,1094.5427456,838.132146176,256.410599424,64,,8.074951171875,1036.644307968,643.489256448,140.26801152000002,252.88704,True,1.0,1.0,1.0
rlt@0.1,1,0.8443537414965986,0.0,165.4933333333333,6.80987548828125,1.93703125,6.80987548828125,14.542759676359138,0.0,2.845088481903076,True,1024.21995264,807.873509376,216.346443264,64,0.8613679846938775,6.818115234374999,975.4511951872,643.489256448,118.43582033919999,213.52611839999997,True,1.1857707509881423,1.2215348542908795,1.0686598545348955
rlt@0.2,1,0.7022619047619048,0.0,137.64333333333335,5.665924072265625,1.611640625,5.665924072265625,16.427813907340962,0.0,2.8449978828430176,True,953.89715968,777.614872576,176.282287104,64,0.7217793367346939,5.670730590820313,919.5870717952,643.489256448,98.50488094720001,177.59293440000002,True,1.4251781472684086,1.3798720266444882,1.1474431331436
rlt@0.3,1,0.5346428571428572,0.0,104.79,4.306640625,1.225,4.306640625,18.804694088990317,0.0,2.844731330871582,True,862.4775288320001,738.278644736,124.198884096,64,0.5293367346938775,4.3172149658203125,853.6867964928,643.489256448,74.99329044480001,135.20424960000003,True,1.875,1.5795206525567893,1.2690681310645524
rlt@0.4,1,0.3585799319727891,0.0,70.28166666666667,2.893524169921875,0.823046875,2.893524169921875,23.636743092257376,0.0,2.8447179794311523,True,834.348411648,726.175190016,108.173221632,64,0.3650350765306122,2.8955154418945312,784.4667680768,643.489256448,50.2972940288,90.6802176,True,2.7906976744186047,1.9853938435115577,1.3118533340742695
rlt@0.5,1,0.1972448979591836,0.0,38.65999999999998,1.58807373046875,0.45171875,1.58807373046875,24.42490233664284,0.0,2.844621181488037,True,707.76738432,671.709643776,36.057740544,64,0.201610331632653,1.5927429199218743,721.0370844672,643.489256448,27.66714961919999,49.88067839999998,True,5.084745762711864,2.0515961331164316,1.5464724284400322
rlt@0.6,1,0.080969387755102,0.0,15.869999999999992,0.64599609375,0.18375,0.0,31.031492319466857,0.0,2.710120677947998,False,675.3227802624,,,0,,0.6538238525390622,675.3227802624,643.489256448,11.357415014399995,20.47610879999999,False,12.5,2.6065238161439854,1.6207697675690875
rlt@0.7,1,0.026454081632653,0.0,5.184999999999988,0.201873779296875,0.057421875,0.0,38.617347066352906,0.0,2.5615930557250977,False,653.8898122751999,,,0,,0.21361541748046825,653.8898122751999,643.489256448,3.710661427199992,6.689894399999985,False,40.0,3.2437059039407576,1.6738947832686897
rlt@0.8,1,0.00625,0.0,1.225,0.040374755859375,0.011484375,0.0,35.07014701865379,0.0,2.507756233215332,False,645.94647552,,,0,,0.05046844482421876,645.94647552,643.489256448,0.876675072,1.5805440000000002,False,200.0,2.94575499298329,1.6944790119318645
rlt@0.9,1,0.0022448979591836,0.0,0.4399999999999856,0.013458251953125,0.003828125,0.0,37.46274218239635,0.0,2.4984569549560547,False,644.3718494208,,,0,,0.018127441406249407,644.3718494208,643.489256448,0.31488737279998974,0.5677055999999815,False,600.0,3.1467236158417418,1.6986197435282757
